Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Lamar Jackson,8,92,#4 QB,"6'2""",212,25,1/7/97,5,2018,1,32,Louisville
QB, Tyler Huntley,2,67,#44 QB,"6'1""",196,24,2/3/98,2,2020,,,Utah
QB, Anthony Brown,12,67,#44 QB,"6'3""",226,,,,2022,,,Oregon
RB, J.K. Dobbins,27,78,#36 RB,"5'10""",212,23,12/17/98,3,2020,2,55,Ohio State
RB, Gus Edwards,35,75,#47 RB,"6'1""",238,27,4/13/95,5,2018,,,Rutgers
RB, Justice Hill,43,74,#55 RB,"5'10""",200,24,11/14/97,4,2019,4,113,Oklahoma State
RB, Ty'Son Williams,34,69,#81 RB,"6'0""",220,25,9/4/96,2,2020,,,Brigham Young
RB, Nate McCrary,47,67,#98 RB,"6'0""",213,23,4/9/99,1,2021,,,Saginaw Valley State
RB, Tyler Badie,30,67,#98 RB,"5'8""",194,23,2/7/99,0,2022,6,196,Missouri
RB, Ricky Person Jr,31,67,#98 RB,"6'2""",202,,,,2022,,,North Carolina State
FB, Patrick Ricard,42,83,#2 FB,"6'3""",311,27,5/27/94,6,2017,,,Maine
FB, Ben Mason,38,67,#13 FB,"6'3""",256,22,5/25/99,1,2021,5,184,Michigan
WR, Rashod Bateman,7,79,#50 WR,"6'1""",193,22,11/29/99,2,2021,1,27,Minnesota
WR, Devin Duvernay,13,75,#73 WR,"5'11""",210,24,9/12/97,3,2020,3,92,Texas
WR, Tylan Wallace,16,71,#115 WR,"5'11""",195,22,5/13/99,2,2021,4,131,Oklahoma State
WR, James Proche II,3,69,#143 WR,"5'11""",193,25,9/21/96,3,2020,6,201,Southern Methodist
WR, Binjimen Victor,81,67,#165 WR,"6'4""",199,25,1/15/97,2,2020,,,Ohio State
WR, Slade Bolden,82,67,#165 WR,"5'11""",194,23,1/26/99,,2022,,,Alabama
WR, Devon Williams,17,67,#165 WR,"6'5""",207,21,7/6/00,,2022,,,Oregon
WR, Emeka Emezie,,67,#165 WR,"6'3""",212,,,0,2022,,,North Carolina State
WR, Trevon Clark,87,67,#165 WR,"6'4""",195,,,,2022,,,Cal
WR, Raleigh Webb,28,67,#165 WR,"6'2""",213,,,,2022,,,The Citadel
WR, Jaylon Moore,10,67,#165 WR,"5'11""",191,24,7/1/97,2,2020,,,Tennessee-Martin
TE, Mark Andrews,89,91,#3 TE,"6'5""",256,26,9/6/95,5,2018,3,86,Oklahoma
TE, Nick Boyle,86,73,#32 TE,"6'4""",270,29,2/17/93,8,2015,5,171,Delaware
TE, Josh Oliver,84,67,#61 TE,"6'5""",249,25,3/21/97,4,2019,3,69,San Jose State
TE, Tony Poljan,83,67,#61 TE,"6'7""",265,25,4/25/97,1,2021,,,Virginia
TE, Charlie Kolar,88,67,#61 TE,"6'6""",260,23,2/10/99,0,2022,4,128,Iowa State
TE, Isaiah Likely,80,67,#61 TE,"6'4""",240,22,4/18/00,0,2022,4,139,Coastal Carolina
C, Trystan Colon,63,67,#28 C,"6'3""",313,24,3/23/98,3,2020,,,Missouri
C, Tyler Linderbaum,64,67,#28 C,"6'3""",290,22,4/7/00,0,2022,1,25,Iowa
C, Jimmy Murray,67,67,#28 C,"6'5""",304,27,5/5/95,4,2018,,,Holy Cross
OL, Patrick Mekari,65,71,#16 OL,"6'4""",308,24,8/13/97,4,2019,,,California
OL, Brodarious Hamm,,67,#21 OL,"6'6""",334,,,0,2022,,,Auburn
OL, Aron Johnson,76,67,#21 OL,"6'6""",300,,,,2022,,,South Dakota State
G, Kevin Zeitler,70,80,#11 G,"6'4""",315,32,3/8/90,11,2012,1,27,Wisconsin
G, Ben Powers,72,70,#37 G,"6'4""",310,25,10/29/96,4,2019,4,123,Oklahoma
G, Ben Cleveland,66,68,#42 G,"6'6""",354,23,8/25/98,2,2021,3,94,Georgia
G, Tyre Phillips,74,67,#44 G,"6'5""",344,25,1/29/97,3,2020,3,106,Mississippi State
OT, Ronnie Stanley,79,90,#6 OT,"6'6""",315,28,3/18/94,7,2016,1,6,Notre Dame
OT, Ja'Wuan James,71,76,#33 OT,"6'6""",312,29,6/3/92,8,2014,1,19,Tennessee
OT, Morgan Moses,78,72,#44 OT,"6'6""",330,31,3/3/91,9,2014,3,66,Virginia
OT, Daniel Faalele,77,67,#68 OT,"6'8""",387,22,11/9/99,0,2022,4,110,Minnesota
OT, Jaryd Jones-Smith,61,67,#68 OT,"6'7""",345,26,9/3/95,2,2018,,,Pittsburgh
DL, Travis Jones,98,67,#13 DL,"6'4""",333,22,10/15/99,0,2022,3,76,Connecticut
NT, Michael Pierce,58,89,#3 NT,"6'0""",345,29,11/6/92,6,2016,,,Samford
DT, Justin Madubuike,92,77,#15 DT,"6'3""",293,24,11/17/97,3,2020,3,71,Texas A&M
DT, Broderick Washington,96,67,#57 DT,"6'3""",304,25,12/4/96,3,2020,5,170,Texas Tech
DT, Kahlil McKenzie,69,67,#57 DT,"6'3""",314,25,1/3/97,4,2018,6,198,Tennessee
DT, Rayshad Nichols,91,67,#57 DT,"6'3""",304,,,,2022,,,Stephen F. Austin
DT, Xavier Kelly,91,67,#57 DT,"6'5""",311,24,10/2/97,2,2021,,,Arkansas
DT, Isaiah Mack,94,67,#57 DT,"6'1""",299,26,3/19/96,4,2019,,,Tennessee-Chattanooga
DT, Aaron Crawford,97,67,#57 DT,"6'1""",315,24,11/4/97,2,2020,,,North Carolina
DE, Calais Campbell,93,89,#6 DE,"6'8""",300,35,9/1/86,15,2008,2,50,Miami (FL)
DE, Derek Wolfe,95,81,#26 DE,"6'5""",285,32,2/24/90,11,2012,2,36,Cincinnati
LB, Patrick Queen,6,76,#11 LB,"6'0""",232,22,8/13/99,3,2020,1,28,LSU
LB, Malik Harrison,40,72,#20 LB,"6'3""",247,24,3/5/98,3,2020,3,98,Ohio State
LB, Daelin Hayes,59,67,#42 LB,"6'4""",261,23,5/16/98,2,2021,5,171,Notre Dame
LB, Jeremiah Moon,51,67,#42 LB,"6'5""",245,22,8/18/99,0,2022,,,Florida
LB, Zakoby McClain,49,67,#42 LB,"6'0""",219,,,0,2022,,,Auburn
LB, Joshua Ross,46,67,#42 LB,"6'2""",224,22,10/31/99,,2022,,,Michigan
LB, Shemar Bridges,85,67,#42 LB,"6'2""",251,,,,2022,,,University of Texas-San Antonio
OLB, Odafe Oweh,99,79,#17 OLB,"6'5""",251,23,12/15/98,2,2021,1,31,Penn State
OLB, Tyus Bowser,54,74,#33 OLB,"6'3""",242,26,5/23/95,6,2017,2,47,Houston
OLB, Jaylon Ferguson,45,72,#44 OLB,"6'5""",275,26,12/14/95,4,2019,3,85,Louisiana Tech
OLB, David Ojabo,90,67,#64 OLB,"6'5""",250,21,5/17/00,0,2022,2,45,Michigan
OLB, Charles Wiley,53,67,#64 OLB,"6'3""",255,,,0,2022,,,Texas-San Antonio
ILB, Josh Bynes,56,71,#29 ILB,"6'1""",235,32,8/24/89,12,2011,,,Auburn
ILB, Kristian Welch,57,67,#46 ILB,"6'3""",240,23,5/24/98,3,2020,,,Iowa
CB, Marlon Humphrey,44,88,#8 CB,"6'0""",197,25,7/8/96,6,2017,1,16,Alabama
CB, Marcus Peters,24,86,#14 CB,"6'0""",195,29,1/9/93,8,2015,1,18,Washington
CB, Robert Jackson,17,67,#142 CB,"6'2""",207,28,12/8/93,4,2018,,,UNLV
