Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Josh Allen,17,86,#7 QB,"6'5""",237,25,5/21/96,5,2018,1,7,Wyoming
QB, Case Keenum,18,69,#39 QB,"6'1""",215,34,2/17/88,10,2012,,,Houston
QB, Matt Barkley,11,67,#44 QB,"6'2""",234,31,9/8/90,10,2013,4,98,USC
RB, Devin Singletary,26,78,#36 RB,"5'7""",203,24,9/3/97,4,2019,3,74,Florida Atlantic
RB, Zack Moss,20,73,#58 RB,"5'9""",223,24,12/15/97,3,2020,3,86,Utah
RB, Taiwan Jones,25,72,#64 RB,"6'0""",195,33,7/26/88,12,2011,4,125,Eastern Washington
RB, Duke Johnson,22,69,#81 RB,"5'9""",210,28,9/23/93,8,2015,3,77,Miami (FL)
RB, James Cook,28,67,#98 RB,"5'11""",190,22,9/25/99,0,2022,2,63,Georgia
RB, Raheem Blackshear,,67,#98 RB,"5'9""",195,23,6/5/98,0,2022,,,Virginia Tech
FB, Reggie Gilliam,41,71,#6 FB,"6'1""",255,24,8/20/97,3,2020,,,Toledo
WR, Stefon Diggs,14,96,#3 WR,"6'0""",191,28,11/29/93,8,2015,5,146,Maryland
WR, Gabriel Davis,13,75,#73 WR,"6'2""",216,23,4/1/99,3,2020,4,128,Central Florida
WR, Jamison Crowder,80,75,#73 WR,"5'9""",177,28,6/17/93,8,2015,4,105,Duke
WR, Isaiah McKenzie,6,74,#84 WR,"5'8""",173,27,4/9/95,6,2017,5,172,Georgia
WR, Jake Kumerow,15,70,#132 WR,"6'4""",209,30,2/17/92,5,2015,,,Wisconsin-Whitewater
WR, Isaiah Hodgins,16,67,#165 WR,"6'4""",210,23,10/21/98,3,2020,6,207,Oregon State
WR, Marquez Stevenson,5,67,#165 WR,"6'0""",190,24,3/26/98,2,2021,6,203,Houston
WR, Khalil Shakir,10,67,#165 WR,"6'0""",190,22,2/3/00,0,2022,5,148,Boise State
WR, Neil Pau'u,,67,#165 WR,"6'4""",215,,,0,2022,,,Brigham Young
WR, Tanner Gentry,87,67,#165 WR,"6'1""",211,27,12/18/94,2,2017,,,Wyoming
WR, Keith Corbin III,,67,#165 WR,"6'2""",200,,,0,2022,,,Jackson State
