Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Sam Darnold,14,70,#34 QB,"6'3""",225,24,6/5/97,5,2018,1,3,USC
QB, P.J. Walker,6,67,#44 QB,"5'11""",210,27,2/26/95,3,2017,,,Temple
QB, Matt Corral,9,67,#44 QB,"6'2""",205,23,1/31/99,0,2022,3,94,Mississippi
QB, Davis Cheek,,67,#44 QB,"6'3""",217,23,2/26/99,0,2022,,,Elon
RB, Christian McCaffrey,22,95,#3 RB,"5'11""",205,25,6/7/96,6,2017,1,8,Stanford
RB, Chuba Hubbard,30,73,#58 RB,"6'1""",210,22,6/11/99,2,2021,4,126,Oklahoma State
RB, D'Onta Foreman,33,73,#58 RB,"6'0""",233,26,4/24/96,5,2017,3,89,Texas
RB, Darius Bradwell,32,67,#98 RB,"6'1""",230,24,5/15/97,2,2020,,,Tulane
RB, John Lovett,,67,#98 RB,"6'0""",210,,,0,2022,,,Penn State
RB, Spencer Brown,41,67,#98 RB,"6'0""",220,23,11/13/98,1,2021,,,Alabama-Birmingham
FB, Giovanni Ricci,45,67,#13 FB,"6'3""",240,25,10/16/96,2,2020,,,Western Michigan
WR, Robby Anderson,11,84,#23 WR,"6'3""",190,28,5/9/93,7,2016,,,Temple
WR, Rashard Higgins,17,74,#84 WR,"6'1""",198,27,10/7/94,7,2016,5,172,Colorado State
WR, Terrace Marshall Jr.,88,71,#115 WR,"6'2""",200,21,6/9/00,2,2021,2,59,LSU
WR, Andre Roberts,18,69,#143 WR,"5'11""",195,34,1/9/88,13,2010,3,88,The Citadel
WR, C.J. Saunders,81,67,#165 WR,"5'10""",190,25,9/15/96,2,2021,,,Ohio State
WR, Charleston Rambo,,67,#165 WR,"6'1""",185,22,8/10/99,0,2022,,,Miami (FL)
WR, Aaron Parker,19,67,#165 WR,"6'3""",208,23,5/21/98,2,2020,,,Rhode Island
WR, Andrew Parchment,,67,#165 WR,"6'2""",180,,,0,2022,,,Florida State
WR, Talolo Limu-Jones,,67,#165 WR,"6'4""",220,24,11/16/97,0,2022,,,Eastern Washington
WR, Ra'Shaun Henry,,67,#165 WR,"6'3""",190,,,0,2022,,,Virginia
WR, DJ Moore,2,67,#165 WR,"5'11""",215,25,4/14/97,5,2018,1,24,Maryland
WR, Derek Wright,,67,#165 WR,"6'1""",195,,,0,2022,,,Utah State
WR, Brandon Zylstra,16,67,#165 WR,"6'2""",215,29,3/25/93,5,2018,,,Concordia College (MN)
WR, Shi Smith,12,67,#165 WR,"5'10""",190,23,10/26/98,2,2021,6,204,South Carolina
TE, Ian Thomas,80,69,#52 TE,"6'3""",260,25,6/6/96,5,2018,4,101,Indiana
TE, Tommy Tremble,82,69,#52 TE,"6'4""",248,21,6/2/00,2,2021,3,83,Notre Dame
TE, Stephen Sullivan,84,67,#61 TE,"6'5""",245,25,11/28/96,2,2020,7,251,LSU
TE, Josh Babicz,,67,#61 TE,"6'6""",255,,,0,2022,,,North Dakota State
