Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Deshaun Watson,4,86,#7 QB,"6'2""",215,26,9/14/95,6,2017,1,12,Clemson
QB, Baker Mayfield,6,80,#16 QB,"6'1""",215,27,4/14/95,5,2018,1,1,Oklahoma
QB, Jacoby Brissett,7,71,#33 QB,"6'4""",238,29,12/11/92,7,2016,3,91,North Carolina State
QB, Joshua Dobbs,15,67,#44 QB,"6'3""",216,27,1/26/95,6,2017,4,135,Tennessee
QB, Felix Harper,,67,#44 QB,"5'11""",180,,,0,2022,,,Alcorn State
RB, Nick Chubb,24,93,#5 RB,"5'11""",227,26,12/27/95,5,2018,2,35,Georgia
RB, Kareem Hunt,27,90,#8 RB,"5'11""",216,26,8/6/95,6,2017,3,86,Toledo
RB, Demetric Felton,25,73,#58 RB,"5'9""",189,23,7/16/98,2,2021,6,211,UCLA
RB, D'Ernest Johnson,30,70,#72 RB,"5'10""",208,26,2/27/96,4,2019,,,South Florida
RB, Jerome Ford,34,67,#98 RB,"5'11""",220,22,9/12/99,0,2022,5,156,Cincinnati
RB, John Kelly,41,67,#98 RB,"5'10""",205,25,10/4/96,4,2018,6,176,Tennessee
RB, Tre Harbison,37,67,#98 RB,"5'11""",216,23,7/1/98,2,2021,,,Charlotte
FB, Johnny Stanton,40,67,#13 FB,"6'2""",240,27,9/7/94,3,2018,,,UNLV
WR, Amari Cooper,2,89,#10 WR,"6'1""",210,27,6/17/94,8,2015,1,4,Alabama
WR, Jakeem Grant Sr.,9,73,#93 WR,"5'7""",171,29,10/30/92,7,2016,6,186,Texas Tech
WR, Donovan Peoples-Jones,11,71,#115 WR,"6'2""",208,23,2/19/99,3,2020,6,187,Michigan
WR, Anthony Schwartz,10,71,#115 WR,"6'1""",179,21,9/5/00,2,2021,3,91,Auburn
WR, Ja'Marcus Bradley,84,67,#165 WR,"6'0""",198,25,12/11/96,2,2020,,,Louisiana-Lafayette
WR, Mike Harley,,67,#165 WR,"5'11""",180,24,12/13/97,0,2022,,,Miami (FL)
WR, David Bell,18,67,#165 WR,"6'2""",205,21,12/14/00,0,2022,3,99,Purdue
WR, Isaiah Weston,,67,#165 WR,"6'4""",210,24,10/25/97,0,2022,,,Northern Iowa
WR, Mike Woods,12,67,#165 WR,"6'1""",204,22,3/19/00,0,2022,6,202,Oklahoma
WR, Javon Wims,16,67,#165 WR,"6'2""",221,27,9/11/94,5,2018,7,224,Georgia
WR, Travell Harris,,67,#165 WR,"5'9""",185,,,0,2022,,,Washington State
TE, David Njoku,85,80,#15 TE,"6'4""",246,25,7/10/96,6,2017,1,29,Miami (FL)
TE, Harrison Bryant,88,68,#55 TE,"6'5""",243,24,4/23/98,3,2020,4,115,Florida Atlantic
TE, Stephen Carlson,,67,#61 TE,"6'4""",240,25,12/12/96,4,2019,,,Princeton
TE, Zaire Mitchell-Paden,,67,#61 TE,"6'5""",267,22,8/20/99,0,2022,,,Florida Atlantic
TE, Malik Smith,,67,#61 TE,"6'6""",265,,,0,2022,,,None
TE, Marcus Santos-Silva,87,67,#61 TE,"6'7""",250,24,6/7/97,0,2022,,,Texas Tech
TE, Nick Guggemos,48,67,#61 TE,"6'5""",231,26,12/17/95,1,2021,,,St. Thomas
TE, Miller Forristall,86,67,#61 TE,"6'5""",239,24,3/11/98,1,2021,,,Alabama
C, Brock Hoffman,,67,#28 C,"6'3""",315,22,7/2/99,0,2022,,,Virginia Tech
C, Nick Harris,53,67,#28 C,"6'1""",302,23,11/13/98,3,2020,5,160,Washington
OL, Dawson Deaton,52,67,#21 OL,"6'6""",310,23,5/6/99,0,2022,7,246,Texas Tech
OL, Ben Petrula,,67,#21 OL,"6'5""",314,,,0,2022,,,Boston College
G, Wyatt Teller,77,92,#2 G,"6'4""",315,27,11/21/94,5,2018,5,166,Virginia Tech
G, Joel Bitonio,75,86,#4 G,"6'4""",320,30,10/11/91,9,2014,2,35,Nevada
G, Ethan Pocic,55,71,#31 G,"6'6""",320,26,8/5/95,6,2017,2,58,LSU
