Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Russell Wilson,3,91,#5 QB,"5'11""",215,33,11/29/88,11,2012,3,75,Wisconsin
QB, Eric Barriere,,67,#44 QB,"6'1""",210,,,0,2022,,,Eastern Washington
QB, Josh Johnson,11,67,#44 QB,"6'3""",205,35,5/15/86,9,2008,5,160,San Diego
QB, Brett Rypien,4,67,#44 QB,"6'2""",202,25,7/9/96,3,2019,,,Boise State
RB, Melvin Gordon III,25,86,#12 RB,"6'1""",215,29,4/13/93,8,2015,1,15,Wisconsin
RB, Javonte Williams,33,79,#32 RB,"5'10""",220,22,4/25/00,2,2021,2,35,North Carolina
RB, Mike Boone,26,67,#98 RB,"5'10""",206,26,6/30/95,5,2018,,,Cincinnati
RB, Damarea Crockett,28,67,#98 RB,"5'11""",224,24,12/22/97,2,2019,,,Missouri
WR, Courtland Sutton,14,84,#23 WR,"6'4""",216,26,10/10/95,5,2018,2,40,Southern Methodist
WR, Jerry Jeudy,10,82,#34 WR,"6'1""",193,23,4/24/99,3,2020,1,15,Alabama
WR, Tim Patrick,81,80,#43 WR,"6'4""",212,28,11/23/93,5,2017,,,Utah
WR, Travis Fulgham,15,76,#68 WR,"6'2""",215,26,9/13/95,4,2019,6,184,Old Dominion
WR, KJ Hamler,1,74,#84 WR,"5'9""",178,22,7/8/99,3,2020,2,46,Penn State
WR, Kendall Hinton,9,70,#132 WR,"6'0""",195,25,2/19/97,2,2020,,,Wake Forest
WR, Tyrie Cleveland,16,67,#165 WR,"6'2""",211,24,9/20/97,3,2020,7,252,Florida
WR, Seth Williams,19,67,#165 WR,"6'3""",212,23,4/10/99,1,2021,6,219,Auburn
WR, Montrell Washington,,67,#165 WR,"5'10""",170,,,0,2022,5,162,Samford
WR, Jalen Virgil,,67,#165 WR,"6'1""",210,,,0,2022,,,Appalachian State
WR, Kaden Davis,,67,#165 WR,"6'1""",190,,,0,2022,,,Northwest Missouri State
WR, Brandon Johnson,,67,#165 WR,"6'2""",195,,,0,2022,,,UCF
WR, Tyreik McAllister,,67,#165 WR,"5'11""",180,,,0,2022,,,Charleston (WV)
TE, Andrew Beck,83,71,#38 TE,"6'3""",255,25,5/15/96,4,2019,,,Texas
TE, Albert Okwuegbunam,85,71,#38 TE,"6'5""",258,24,4/25/98,3,2020,4,118,Missouri
TE, Shaun Beyer,88,67,#61 TE,"6'5""",210,25,11/11/96,1,2021,,,Iowa
