Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Jared Goff,16,74,#25 QB,"6'4""",222,27,10/14/94,7,2016,1,1,California
QB, Steven Montez,,67,#44 QB,"6'4""",232,25,1/14/97,2,2020,,,Colorado
QB, Tim Boyle,12,67,#44 QB,"6'4""",232,27,10/3/94,5,2018,,,Eastern Kentucky
QB, David Blough,10,67,#44 QB,"6'1""",205,26,7/31/95,4,2019,,,Purdue
RB, Jamaal Williams,30,80,#28 RB,"6'0""",213,27,4/3/95,6,2017,4,134,Brigham Young
RB, D'Andre Swift,32,78,#36 RB,"5'8""",212,23,1/14/99,3,2020,2,35,Georgia
RB, Jermar Jefferson,28,67,#98 RB,"5'9""",210,22,4/15/00,2,2021,7,257,Oregon State
RB, Godwin Igwebuike,35,67,#98 RB,"5'11""",213,27,9/10/94,3,2018,,,None
RB, Greg Bell,,67,#98 RB,"6'0""",200,23,6/16/98,0,2022,,,San Diego State
RB, Craig Reynolds,46,67,#98 RB,"5'11""",225,25,6/15/96,3,2019,,,Kutztown
FB, Jason Cabinda,45,68,#10 FB,"6'1""",235,26,3/17/96,4,2018,,,Penn State
WR, DJ Chark Jr.,,81,#40 WR,"6'4""",198,25,9/23/96,5,2018,2,61,LSU
WR, Quintez Cephus,87,76,#68 WR,"6'1""",202,24,4/1/98,3,2020,5,166,Wisconsin
WR, Amon-Ra St. Brown,14,75,#73 WR,"6'0""",197,22,10/24/99,2,2021,4,112,USC
WR, Josh Reynolds,8,75,#73 WR,"6'3""",196,27,2/16/95,6,2017,4,117,Texas A&M
WR, Kalif Raymond,11,74,#84 WR,"5'8""",182,27,8/8/94,6,2016,,,Holy Cross
WR, Trinity Benson,17,67,#165 WR,"6'0""",180,25,1/16/97,2,2019,,,East Central (OK)
WR, Jameson Williams,,67,#165 WR,"6'2""",189,21,3/26/01,0,2022,1,12,Alabama
WR, Javon McKinley,83,67,#165 WR,"6'2""",215,24,4/10/98,1,2021,,,Notre Dame
WR, Tom Kennedy,85,67,#165 WR,"5'10""",194,25,7/29/96,2,2019,,,Bryant
WR, Josh Johnson,,67,#165 WR,"5'11""",179,22,8/10/99,0,2022,,,Tulsa
WR, Kalil Pimpleton,,67,#165 WR,"5'9""",175,,,0,2022,,,Central Michigan
WR, Corey Sutton,,67,#165 WR,"6'3""",205,24,10/30/97,0,2022,,,Appalachian State
TE, T.J. Hockenson,88,91,#3 TE,"6'5""",247,24,7/3/97,4,2019,1,8,Iowa
TE, Jared Pinkney,80,67,#61 TE,"6'4""",257,24,8/21/97,2,2020,,,Vanderbilt
TE, James Mitchell,,67,#61 TE,"6'3""",255,21,8/11/00,0,2022,5,177,Virginia Tech
TE, Brock Wright,89,67,#61 TE,"6'4""",255,23,11/27/98,2,2021,,,Notre Dame
TE, Shane Zylstra,84,67,#61 TE,"6'4""",230,25,11/16/96,2,2021,,,Minnesota State-Mankato
TE, Matt Sokol,,67,#61 TE,"6'5""",249,26,11/9/95,2,2019,,,Michigan State
TE, Derrick Deese Jr.,,67,#61 TE,"6'4""",235,24,8/19/97,0,2022,,,San Jose State
TE, Nolan Givan,,67,#61 TE,"6'3""",260,,,0,2022,,,Southeast Louisiana
TE, Garrett Griffin,,67,#61 TE,"6'4""",240,28,3/4/94,4,2016,,,Air Force
TE, Rashod Berry,43,67,#61 TE,"6'4""",255,25,10/14/96,2,2020,,,Ohio State
C, Frank Ragnow,77,87,#6 C,"6'5""",311,25,5/17/96,5,2018,1,20,Arkansas
C, Evan Brown,63,67,#28 C,"6'2""",302,25,9/16/96,4,2018,,,Southern Methodist
OL, Jonah Jackson,73,71,#16 OL,"6'3""",309,25,2/5/97,3,2020,3,75,Ohio State
OL, Logan Stenberg,71,67,#21 OL,"6'6""",321,25,3/18/97,3,2020,4,121,Kentucky
OL, Obinna Eze,,67,#21 OL,"6'8""",334,23,6/12/98,0,2022,,,TCU
OL, Ryan McCollum,74,67,#21 OL,"6'5""",300,24,3/4/98,2,2021,,,Texas A&M
OL, Logan Harris,,67,#21 OL,"6'3""",310,,,,2022,,,Wyoming
OL, Tommy Kraemer,78,67,#21 OL,"6'6""",319,24,4/16/98,2,2021,,,Notre Dame
G, Halapoulivaati Vaitai,72,71,#31 G,"6'6""",320,28,6/16/93,7,2016,5,164,TCU
G, Kevin Jarvis,,67,#44 G,"6'6""",325,23,12/22/98,0,2022,,,Michigan State
G, Zein Obeid,,67,#44 G,"6'4""",309,,,0,2022,,,Ferris State
OT, Taylor Decker,68,80,#23 OT,"6'7""",318,28,8/23/93,7,2016,1,16,Ohio State
OT, Penei Sewell,58,76,#33 OT,"6'6""",325,21,10/9/00,2,2021,1,7,Oregon
OT, Matt Nelson,67,67,#68 OT,"6'7""",299,26,12/19/95,3,2019,,,Iowa
OT, Dan Skipper,70,67,#68 OT,"6'9""",317,27,9/20/94,4,2017,,,Arkansas
DL, Michael Brockers,91,70,#8 DL,"6'5""",305,31,12/21/90,11,2012,1,14,LSU
DL, John Penisini,98,67,#13 DL,"6'1""",318,24,5/31/97,3,2020,6,197,Utah
DT, Alim McNeill,54,73,#26 DT,"6'2""",320,21,5/11/00,2,2021,3,72,North Carolina State
DT, Jashon Cornell,96,67,#57 DT,"6'3""",285,25,12/30/96,3,2020,7,235,Ohio State
DT, Demetrius Taylor,,67,#57 DT,"6'1""",290,22,5/27/99,0,2022,,,Appalachian State
DE, Austin Bryant,2,67,#97 DE,"6'6""",261,25,11/12/96,4,2019,4,117,Clemson
DE, Aidan Hutchinson,,67,#97 DE,"6'6""",265,21,8/9/00,0,2022,1,2,Michigan
DE, Joshua Paschal,,67,#97 DE,"6'3""",278,22,12/17/99,0,2022,2,46,Kentucky
DE, Jessie Lemonier,52,67,#97 DE,"6'3""",240,25,1/31/97,3,2020,,,Liberty
DE, Eric Banks,94,67,#97 DE,"6'5""",230,24,1/30/98,2,2020,,,Texas-San Antonio
DE, Levi Onwuzurike,75,67,#97 DE,"6'3""",290,24,3/2/98,2,2021,2,41,Washington
DE, Bruce Hector,76,67,#97 DE,"6'2""",296,27,10/7/94,5,2018,,,South Florida
LB, Derrick Barnes,55,67,#42 LB,"6'0""",238,22,5/29/99,2,2021,4,113,Purdue
LB, Tavante Beckett,59,67,#42 LB,"5'10""",214,24,10/21/97,1,2021,,,Marshall
LB, Malcolm Rodriguez,,67,#42 LB,"5'11""",225,23,3/29/99,0,2022,6,188,Oklahoma State
OLB, Romeo Okwara,95,75,#32 OLB,"6'4""",263,26,6/17/95,7,2016,,,Notre Dame
OLB, Charles Harris,53,74,#33 OLB,"6'3""",252,27,3/6/95,6,2017,1,22,Missouri
OLB, Julian Okwara,99,69,#59 OLB,"6'4""",252,24,12/27/97,3,2020,3,67,Notre Dame
OLB, Anthony Pittman,57,67,#64 OLB,"6'3""",240,25,11/24/96,2,2019,,,Wayne State (MI)
