Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Trevor Lawrence,16,72,#32 QB,"6'6""",220,22,10/6/99,2,2021,1,1,Clemson
QB, Jake Luton,6,67,#44 QB,"6'6""",229,26,4/11/96,3,2020,6,189,Oregon State
QB, E.J. Perry,,67,#44 QB,"6'2""",210,24,1/1/98,0,2022,,,Brown
QB, C.J. Beathard,3,67,#44 QB,"6'2""",215,28,11/16/93,6,2017,3,104,Iowa
RB, James Robinson,25,81,#22 RB,"5'9""",219,23,8/9/98,3,2020,,,Illinois State
RB, Travis Etienne Jr.,1,74,#55 RB,"5'10""",215,23,1/26/99,2,2021,1,25,Clemson
RB, Nathan Cottrell,31,67,#98 RB,"5'11""",193,25,8/2/96,3,2020,,,Georgia Tech
RB, Snoop Conner,24,67,#98 RB,"5'10""",220,21,8/1/00,0,2022,5,154,Mississippi
RB, Mekhi Sargent,36,67,#98 RB,"5'8""",208,24,10/8/97,2,2021,,,Iowa
RB, Ryquell Armstead,23,67,#98 RB,"5'11""",220,25,10/30/96,3,2019,5,140,Temple
WR, Marvin Jones Jr.,11,84,#23 WR,"6'2""",199,32,3/12/90,11,2012,5,166,California
WR, Christian Kirk,13,80,#43 WR,"5'11""",200,25,11/18/96,5,2018,2,47,Texas A&M
WR, Zay Jones,7,76,#68 WR,"6'2""",200,27,3/30/95,6,2017,2,37,East Carolina
WR, Laviska Shenault Jr.,10,74,#84 WR,"6'1""",227,23,10/5/98,3,2020,2,42,Colorado
WR, Jamal Agnew,39,72,#102 WR,"5'10""",190,27,4/3/95,6,2017,5,165,San Diego
WR, Laquon Treadwell,18,72,#102 WR,"6'2""",215,26,6/14/95,6,2016,1,23,Mississippi
WR, Terry Godwin,14,68,#151 WR,"5'11""",185,25,10/23/96,2,2019,7,237,Georgia
WR, Josh Hammond,81,67,#165 WR,"6'0""",194,23,7/24/98,2,2020,,,Florida
WR, Jeff Cotton,88,67,#165 WR,"6'2""",204,25,4/17/97,2,2020,,,Idaho
WR, Kevin Austin Jr.,,67,#165 WR,"6'2""",215,,,0,2022,,,Notre Dame
WR, Lujuan Winningham,,67,#165 WR,"6'3""",195,,,0,2022,,,Central Arkansas
WR, Tim Jones,83,67,#165 WR,"6'1""",202,23,5/15/98,1,2021,,,Southern Mississippi
TE, Evan Engram,17,79,#19 TE,"6'3""",240,27,9/2/94,6,2017,1,23,Mississippi
TE, Dan Arnold,85,73,#32 TE,"6'6""",220,27,3/15/95,6,2017,,,Wisconsin-Platteville
TE, Luke Farrell,89,67,#61 TE,"6'5""",258,24,10/14/97,2,2021,5,145,Ohio State
TE, Grayson Gunter,,67,#61 TE,"6'5""",247,,,0,2022,,,Southern Mississippi
TE, Gerrit Prince,,67,#61 TE,"6'5""",240,,,0,2022,,,UAB
TE, Kahale Warring,,67,#61 TE,"6'5""",252,25,3/23/97,4,2019,3,86,San Diego State
TE, Chris Manhertz,84,67,#61 TE,"6'6""",255,30,4/10/92,7,2014,,,Canisius
OL, Ben Bartch,78,67,#21 OL,"6'6""",309,23,7/22/98,3,2020,4,116,St. John's (MN)
