Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Matthew Stafford,9,84,#12 QB,"6'3""",220,34,2/7/88,14,2009,1,1,Georgia
QB, John Wolford,13,67,#44 QB,"6'1""",200,26,10/16/95,3,2018,,,Wake Forest
QB, Bryce Perkins,16,67,#44 QB,"6'3""",214,25,12/20/96,2,2020,,,Virginia
RB, Cam Akers,3,82,#19 RB,"5'10""",217,22,6/22/99,3,2020,2,52,Florida State
RB, Darrell Henderson Jr.,27,81,#22 RB,"5'8""",208,24,8/19/97,4,2019,3,70,Memphis
RB, Jake Funk,34,69,#81 RB,"5'10""",205,24,1/11/98,2,2021,7,233,Maryland
RB, Raymond Calais,30,67,#98 RB,"5'8""",182,24,4/2/98,3,2020,7,245,Louisiana-Lafayette
RB, Kyren Williams,23,67,#98 RB,"5'9""",199,21,8/26/00,0,2022,5,164,Notre Dame
RB, Xavier Jones,25,67,#98 RB,"5'11""",208,24,8/24/97,3,2020,,,Southern Methodist
WR, Cooper Kupp,10,96,#3 WR,"6'2""",208,28,6/15/93,6,2017,3,69,Eastern Washington
WR, Allen Robinson II,1,84,#23 WR,"6'2""",220,28,8/24/93,9,2014,2,61,Penn State
WR, Van Jefferson,12,78,#56 WR,"6'1""",200,25,7/26/96,3,2020,2,57,Florida
WR, Tutu Atwell,15,71,#115 WR,"5'9""",165,22,10/7/99,2,2021,2,57,Louisville
WR, Warren Jackson,83,67,#165 WR,"6'6""",219,22,6/16/99,1,2021,,,Colorado State
WR, Jacob Harris,87,67,#165 WR,"6'5""",211,25,4/16/97,2,2021,4,141,Central Florida
WR, Brandon Powell,19,67,#165 WR,"5'8""",181,26,9/12/95,5,2018,,,Florida
WR, Ben Skowronek,18,67,#165 WR,"6'3""",224,24,6/27/97,2,2021,7,249,Notre Dame
WR, J.J. Koski,17,67,#165 WR,"6'1""",195,25,12/27/96,2,2020,,,Cal Poly-San Luis Obispo
