Pos,Name,Jersey,Rating,Ranking,Depth,Height,Weight,Age,Birthday,Exp.,College
PG, Jrue Holiday,21,85,#10 PG,1,"6' 3""",205,31,6/12/90,12th season,UCLA
PG, Jevon Carter,5,71,#121 PG,2,"6' 1""",200,26,9/14/95,3rd season,West Virginia
PG, George Hill,3,78,#53 PG,3,"6' 4""",188,35,5/4/86,14th season,IUPUI
PG, Luca Vildoza,6,69,#147 PG,3,"6' 3""",190,26,8/11/95,Rookie,
PG, Rayjon Tucker,59,68,#152 PG,,"6' 3""",209,24,9/24/97,3rd season,Arkansas-Little Rock
PG, Lindell Wigginton,28,67,,,"6' 1""",189,23,3/28/98,Rookie,Iowa State
SG, Wesley Matthews,23,78,#32 SG,1,"6' 4""",220,35,10/14/86,12th season,Marquette
SG, Grayson Allen,7,73,#65 SG,2,"6' 4""",198,26,10/8/95,3rd season,Duke
SG, Pat Connaughton,24,75,#51 SG,3,"6' 5""",209,28,1/6/93,5th season,Notre Dame
SF, Khris Middleton,22,89,#5 SF,1,"6' 7""",222,30,8/12/91,8th season,Texas A&M
SF, Thanasis Antetokounmpo,43,73,#75 SF,2,"6' 6""",219,29,7/18/92,2nd season,
PF, Giannis Antetokounmpo,34,96,#1 PF,1,"6' 11""",242,26,12/6/94,7th season,
PF, Bobby Portis,9,81,#12 PF,2,"6' 10""",250,26,2/10/95,5th season,Arkansas
PF, Jordan Nwora,13,76,#52 PF,2,"6' 8""",225,23,9/9/98,Rookie,Louisville
PF, Serge Ibaka,25,79,#23 PF,3,"6' 10""",235,32,9/18/89,13th season,
PF, Sandro Mamukelashvili,54,71,#110 PF,,"6' 9""",240,22,5/23/99,Rookie,Seton Hall
C, Brook Lopez,11,76,#42 C,1,"7' 0""",282,33,4/1/88,12th season,Stanford
