Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Jameis Winston,2,74,#25 QB,"6'4""",231,28,1/6/94,8,2015,1,1,Florida State
QB, Andy Dalton,5,74,#25 QB,"6'2""",220,34,10/29/87,12,2011,2,35,TCU
QB, Taysom Hill,7,68,#41 QB,"6'2""",221,31,8/23/90,6,2017,,,Brigham Young
QB, Ian Book,16,67,#44 QB,"6'0""",210,24,3/30/98,2,2021,4,133,Notre Dame
RB, Alvin Kamara,41,89,#9 RB,"5'10""",215,26,7/25/95,6,2017,3,67,Tennessee
RB, Mark Ingram II,14,78,#36 RB,"5'9""",215,32,12/21/89,12,2011,1,28,Alabama
RB, Dwayne Washington,24,67,#98 RB,"6'1""",223,28,4/24/94,7,2016,7,236,Washington
RB, Tony Jones Jr.,34,67,#98 RB,"5'11""",224,24,11/24/97,2,2020,,,Notre Dame
RB, Josh Adams,33,67,#98 RB,"6'2""",225,25,10/29/96,5,2018,,,Notre Dame
RB, Abram Smith,,67,#98 RB,"5'11""",221,23,9/14/98,0,2022,,,Baylor
FB, Adam Prentice,46,67,#13 FB,"6'0""",245,25,1/16/97,2,2021,,,South Carolina
WR, Michael Thomas,13,88,#11 WR,"6'3""",212,29,3/3/93,7,2016,2,47,Ohio State
WR, Deonte Harris,11,76,#68 WR,"5'6""",170,24,12/4/97,4,2019,,,Assumption College
WR, Marquez Callaway,1,72,#102 WR,"6'2""",204,24,3/27/98,3,2020,,,Tennessee
WR, Tre'Quan Smith,10,71,#115 WR,"6'2""",210,26,1/7/96,5,2018,3,91,Central Florida
WR, Kirk Merritt,85,67,#165 WR,"6'0""",208,25,1/5/97,3,2020,,,Arkansas State
WR, Kawaan Baker,80,67,#165 WR,"6'1""",210,23,8/24/98,1,2021,7,255,South Alabama
WR, Jalen McCleskey,87,67,#165 WR,"5'11""",165,24,8/6/97,2,2020,,,Tulane
WR, Chris Olave,12,67,#165 WR,"6'1""",188,21,6/27/00,0,2022,1,11,Ohio State
WR, Dai'Jean Dixon,,67,#165 WR,"6'4""",200,23,10/16/98,0,2022,,,Nicholls State
WR, Easop Winston Jr.,18,67,#165 WR,"6'0""",192,25,12/10/96,2,2021,,,Washington State
WR, Rashid Shaheed,,67,#165 WR,"6'0""",180,23,8/31/98,0,2022,,,Weber State
WR, Kevin White,17,67,#165 WR,"6'3""",215,28,6/25/93,7,2015,1,7,West Virginia
TE, Adam Trautman,82,76,#25 TE,"6'5""",255,25,2/5/97,3,2020,3,105,Dayton
TE, Nick Vannett,81,71,#38 TE,"6'6""",261,29,3/6/93,7,2016,3,94,Ohio State
TE, Juwan Johnson,83,70,#48 TE,"6'4""",231,25,9/13/96,3,2020,,,Oregon
TE, J.P. Holtz,88,67,#61 TE,"6'3""",255,28,8/28/93,4,2016,,,Pittsburgh
TE, Ethan Wolf,86,67,#61 TE,"6'6""",252,26,11/7/95,2,2018,,,Tennessee
TE, Dylan Soehner,89,67,#61 TE,"6'6""",270,24,11/8/97,2,2021,,,Iowa State
TE, Lucas Krull,,67,#61 TE,"6'6""",260,23,7/11/98,0,2022,,,Pittsburgh
OL, Erik McCoy,78,82,#3 OL,"6'4""",314,24,8/27/97,4,2019,2,48,Texas A&M
OL, Andrus Peat,75,75,#8 OL,"6'7""",316,28,11/4/93,8,2015,1,13,Stanford
OL, Cesar Ruiz,51,72,#13 OL,"6'4""",316,22,6/14/99,3,2020,1,24,Michigan
OL, Calvin Throckmorton,76,67,#21 OL,"6'5""",311,25,8/16/96,2,2020,,,Oregon
OL, Lewis Kidd,,67,#21 OL,"6'6""",311,,,0,2022,,,Montana State
OL, Sage Doxtater,,67,#21 OL,"6'7""",350,,,0,2022,,,New Mexico State
OL, Eric Wilson,,67,#21 OL,"6'4""",307,,,0,2022,,,Penn State
OL, Derek Schweiger,,67,#21 OL,"6'3""",325,23,4/18/99,0,2022,,,Iowa State
OL, Cohl Cabral,68,67,#21 OL,"6'5""",304,24,2/11/98,2,2020,,,Arizona State
G, Forrest Lamp,77,69,#40 G,"6'4""",310,28,2/20/94,6,2017,2,38,Western Kentucky
OT, Ryan Ramczyk,71,86,#11 OT,"6'6""",314,28,4/22/94,6,2017,1,32,Wisconsin
OT, James Hurst,74,75,#38 OT,"6'5""",296,30,12/17/91,9,2014,,,North Carolina
