Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Daniel Jones,8,73,#29 QB,"6'5""",221,24,5/27/97,4,2019,1,6,Duke
QB, Tyrod Taylor,2,73,#29 QB,"6'1""",217,32,8/3/89,12,2011,6,180,Virginia Tech
QB, Brian Lewerke,6,67,#44 QB,"6'3""",221,25,10/24/96,2,2020,,,Michigan State
QB, Davis Webb,12,67,#44 QB,"6'5""",225,27,1/22/95,5,2017,3,87,California
RB, Saquon Barkley,26,88,#10 RB,"5'11""",233,25,2/9/97,5,2018,1,2,Penn State
RB, Matt Breida,31,73,#58 RB,"5'10""",190,27,2/28/95,6,2017,,,Georgia Southern
RB, Antonio Williams,21,69,#81 RB,"5'11""",215,24,10/22/97,2,2020,,,North Carolina
RB, Gary Brightwell,23,67,#98 RB,"5'11""",215,23,2/28/99,2,2021,6,196,Arizona
RB, Jashaun Corbin,,67,#98 RB,"6'0""",220,21,8/20/00,0,2022,,,Florida State
RB, Sandro Platzgummer,34,67,#98 RB,"6'0""",198,25,3/10/97,2,2020,,,None
WR, Sterling Shepard,3,84,#23 WR,"5'10""",201,29,2/10/93,7,2016,2,40,Oklahoma
WR, Kenny Golladay,19,82,#34 WR,"6'4""",214,28,11/3/93,6,2017,3,96,Northern Illinois
WR, Darius Slayton,86,80,#43 WR,"6'1""",190,25,1/12/97,4,2019,5,171,Auburn
WR, Kadarius Toney,89,73,#93 WR,"6'0""",193,23,1/27/99,2,2021,1,20,Florida
WR, C.J. Board,18,72,#102 WR,"6'1""",181,28,12/12/93,4,2017,,,Tennessee-Chattanooga
WR, Richie James,80,71,#115 WR,"5'9""",185,26,9/5/95,5,2018,7,240,Middle Tennessee State
WR, Collin Johnson,15,70,#132 WR,"6'6""",221,24,9/23/97,3,2020,5,165,Texas
WR, Austin Proehl,87,67,#165 WR,"5'11""",175,26,10/11/95,2,2018,7,255,North Carolina
WR, Travis Toivonen,13,67,#165 WR,"6'4""",212,24,4/22/98,1,2021,,,North Dakota
WR, Wan'Dale Robinson,17,67,#165 WR,"5'11""",185,21,1/5/01,0,2022,2,42,Kentucky
WR, David Sills V,84,67,#165 WR,"6'3""",211,25,5/29/96,3,2019,,,West Virginia
WR, Robert Foster,82,67,#165 WR,"6'2""",196,28,5/7/94,5,2018,,,Alabama
WR, Daylen Baldwin,,67,#165 WR,"6'2""",219,,,0,2022,,,Michigan
WR, Alex Bachman,81,67,#165 WR,"6'0""",190,25,5/29/96,3,2019,,,Wake Forest
TE, Jordan Akins,88,72,#36 TE,"6'4""",243,30,4/19/92,5,2018,3,98,Central Florida
TE, Rysen John,44,67,#61 TE,"6'7""",220,24,12/20/97,2,2020,,,Simon Fraser (Canada)
TE, Jake Hausmann,49,67,#61 TE,"6'4""",255,22,9/4/99,1,2021,,,Ohio State
TE, Jeremiah Hall,,67,#61 TE,"6'2""",248,23,11/6/98,0,2022,,,Oklahoma
TE, Daniel Bellinger,45,67,#61 TE,"6'6""",255,21,9/22/00,0,2022,4,112,San Diego State
TE, Austin Allen,,67,#61 TE,"6'8""",260,23,11/10/98,0,2022,,,Nebraska
TE, Chris Myarick,85,67,#61 TE,"6'5""",255,26,10/6/95,3,2019,,,Temple
TE, Ricky Seals-Jones,83,67,#61 TE,"6'5""",243,27,3/15/95,6,2017,,,Texas A&M
