Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Zach Wilson,2,74,#25 QB,"6'2""",214,22,8/3/99,2,2021,1,2,Brigham Young
QB, Mike White,5,67,#44 QB,"6'5""",218,27,3/25/95,4,2018,5,171,Western Kentucky
QB, Joe Flacco,19,67,#44 QB,"6'6""",245,37,1/16/85,15,2008,1,18,Delaware
RB, Michael Carter,32,75,#47 RB,"5'8""",201,23,5/7/99,2,2021,4,107,North Carolina
RB, Tevin Coleman,23,75,#47 RB,"6'1""",210,29,4/16/93,8,2015,3,73,Indiana
RB, Ty Johnson,25,70,#72 RB,"5'10""",210,24,9/17/97,4,2019,6,186,Maryland
RB, La'Mical Perine,22,68,#88 RB,"5'11""",216,24,1/30/98,3,2020,4,120,Florida
RB, Breece Hall,35,67,#98 RB,"6'1""",220,20,5/31/01,0,2022,2,36,Iowa State
RB, Zonovan Knight,38,67,#98 RB,"5'11""",210,21,4/11/01,0,2022,,,North Carolina State
FB, Nick Bawden,48,67,#13 FB,"6'2""",245,25,6/22/96,4,2018,7,237,San Diego State
WR, Corey Davis,84,79,#50 WR,"6'3""",209,27,1/11/95,6,2017,1,5,Western Michigan
WR, Elijah Moore,8,75,#73 WR,"5'10""",178,22,4/27/00,2,2021,2,34,MIssissippi
WR, Braxton Berrios,10,73,#93 WR,"5'9""",190,26,10/6/95,5,2018,6,210,Miami (FL)
WR, Denzel Mims,11,69,#143 WR,"6'3""",207,24,10/10/97,3,2020,2,59,Baylor
WR, Jeff Smith,16,68,#151 WR,"6'1""",195,25,4/21/97,3,2019,,,Boston College
WR, Garrett Wilson,17,67,#165 WR,"6'0""",192,21,7/22/00,0,2022,1,10,Ohio State
WR, D.J. Montgomery,14,67,#165 WR,"6'1""",201,25,11/17/96,3,2019,,,Austin Peay
WR, Keshunn Abram,19,67,#165 WR,"6'2""",193,23,2/3/99,0,2022,,,Kent State
WR, Irvin Charles,82,67,#165 WR,"6'4""",219,,,0,2022,,,Indiana University of Pennsylvania
WR, Ron Hunt,,67,#165 WR,"6'3""",190,,,0,2022,,,North Carolina A&T
WR, Tarik Black,3,67,#165 WR,"6'3""",216,24,2/10/98,1,2021,,,Texas
WR, Rodney Adams,18,67,#165 WR,"6'1""",189,27,9/15/94,3,2017,5,170,South Florida
WR, Lawrence Cager,81,67,#165 WR,"6'5""",220,24,8/20/97,3,2020,,,Georgia
TE, C.J. Uzomah,87,79,#19 TE,"6'6""",260,29,1/14/93,8,2015,5,157,Auburn
TE, Tyler Conklin,83,74,#28 TE,"6'3""",254,26,7/30/95,5,2018,5,157,Central Michigan
TE, Kenny Yeboah,88,67,#61 TE,"6'3""",250,23,10/30/98,2,2021,,,Mississippi
TE, Brandon Dillon,86,67,#61 TE,"6'5""",250,25,4/30/97,2,2019,,,Marian (IN)
TE, Trevon Wesco,85,67,#61 TE,"6'3""",267,26,9/12/95,4,2019,4,121,West Virginia
TE, Jeremy Ruckert,89,67,#61 TE,"6'5""",250,21,8/11/00,0,2022,3,101,Ohio State
C, Connor McGovern,60,75,#14 C,"6'4""",306,29,4/27/93,7,2016,5,144,Missouri
C, Ross Pierschbacher,66,67,#28 C,"6'4""",315,27,5/5/95,4,2019,5,153,Alabama
OL, Grant Hermanns,63,67,#21 OL,"6'7""",300,24,3/5/98,1,2021,,,Purdue
OL, Max Mitchell,61,67,#21 OL,"6'6""",299,22,10/12/99,0,2022,4,111,Louisiana-Lafayette
G, Laken Tomlinson,78,77,#16 G,"6'3""",312,30,2/9/92,8,2015,1,28,Duke
G, Alijah Vera-Tucker,75,75,#20 G,"6'5""",308,22,6/17/99,2,2021,1,14,USC
G, Dan Feeney,67,72,#27 G,"6'4""",310,27,5/29/94,6,2017,3,71,Indiana
G, Nate Herbig,,67,#44 G,"6'4""",334,23,7/10/98,4,2019,,,Stanford
G, Conor McDermott,69,67,#44 G,"6'8""",305,29,10/19/92,6,2017,6,211,UCLA
G, Dru Samia,65,67,#44 G,"6'5""",308,24,8/22/97,4,2019,4,114,Oklahoma
