Pos,Name,Jersey,Rating,Ranking,Depth,Height,Weight,Age,Birthday,Exp.,College
PG, Tyrese Maxey,0,73,#66 PG,1,"6' 2""",200,20,11/4/00,2nd season,Kentucky
PG, Myles Powell,5,67,#178 PG,3,"6' 2""",195,24,7/7/97,Rookie,Seton Hall
SG, James Harden,1,95,#1 SG,1,"6' 5""",220,32,8/26/89,12th season,Arizona State
SG, Danny Green,14,80,#20 SG,1,"6' 6""",215,34,6/22/87,13th season,North Carolina
SG, Furkan Korkmaz,30,75,#48 SG,2,"6' 7""",202,24,7/24/97,5th season,
SG, Matisse Thybulle,22,73,#98 SG,2,"6' 5""",201,24,3/4/97,3rd season,Washington
SG, Shake Milton,18,73,#64 SG,2,"6' 5""",205,25,9/26/96,4th season,SMU
SG, Isaiah Joe,7,72,#80 SG,3,"6' 4""",165,22,7/2/99,2nd season,Arkansas
SG, Charlie Brown Jr.,16,70,#124 SG,3,"6' 6""",199,24,2/2/97,3rd season,Saint Joseph's
SG, Jaden Springer,11,73,#69 SG,,"6' 4""",202,19,9/25/02,Rookie,Tennessee
SF, Tobias Harris,12,82,#16 SF,1,"6' 7""",226,29,7/15/92,11th season,Tennessee
SF, Georges Niang,20,71,#87 SF,2,"6' 7""",230,28,6/17/93,6th season,Iowa State
PF, Paul Millsap,8,78,#40 PF,3,"6' 7""",257,36,2/10/85,15th season,Louisiana Tech
PF, Paul Reed,44,74,#73 PF,3,"6' 9""",210,22,6/14/99,2nd season,Depaul
C, Joel Embiid,21,93,#2 C,1,"7' 0""",280,27,3/16/94,6th season,Kansas
C, DeAndre Jordan,9,78,#25 C,2,"6' 11""",265,33,7/21/88,14th season,Texas A&M
C, Charles Bassey,23,70,#71 C,,"6' 9""",230,20,10/28/00,Rookie,Western Kentucky
