Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Jalen Hurts,1,77,#19 QB,"6'1""",222,23,8/7/98,3,2020,2,53,Oklahoma
QB, Gardner Minshew,10,69,#39 QB,"6'1""",225,25,5/16/96,4,2019,6,178,Washington State
QB, Carson Strong,8,67,#44 QB,"6'4""",226,22,9/14/99,0,2022,,,Nevada
QB, Reid Sinnett,17,67,#44 QB,"6'4""",225,25,2/5/97,2,2020,,,San Diego
RB, Miles Sanders,26,83,#18 RB,"5'11""",211,25,5/1/97,4,2019,2,53,Penn State
RB, Kenneth Gainwell,14,75,#47 RB,"5'9""",200,23,3/14/99,2,2021,5,150,Memphis
RB, Boston Scott,35,73,#58 RB,"5'6""",203,27,4/27/95,4,2018,6,201,Louisiana Tech
RB, Jason Huntley,32,67,#98 RB,"5'9""",193,24,4/20/98,3,2020,5,172,New Mexico State
RB, Kennedy Brooks,49,67,#98 RB,"5'11""",215,23,10/8/98,0,2022,,,Oklahoma
WR, A.J. Brown,11,84,#23 WR,"6'0""",226,24,6/30/97,4,2019,2,51,Mississippi
WR, DeVonta Smith,6,80,#43 WR,"6'0""",170,23,11/14/98,2,2021,1,10,Alabama
WR, Zach Pascal,,78,#56 WR,"6'2""",214,27,12/18/94,5,2017,,,Old Dominion
WR, Quez Watkins,16,72,#102 WR,"6'0""",193,23,6/9/98,3,2020,6,200,Southern Mississippi
WR, Greg Ward,84,72,#102 WR,"5'11""",190,26,7/12/95,4,2017,,,Houston
WR, John Hightower,82,71,#115 WR,"6'2""",190,25,5/31/96,3,2020,5,168,Boise State
WR, Jalen Reagor,18,71,#115 WR,"5'11""",197,23,1/1/99,3,2020,1,21,TCU
WR, J.J. Arcega-Whiteside,19,69,#143 WR,"6'2""",225,25,12/31/96,4,2019,2,57,Stanford
WR, Deon Cain,85,68,#151 WR,"6'2""",202,25,8/9/96,4,2018,6,185,Clemson
WR, Britain Covey,41,67,#165 WR,"5'8""",175,25,3/18/97,0,2022,,,Utah
WR, Devon Allen,39,67,#165 WR,"6'0""",187,27,12/12/94,0,2021,,,Oregon
TE, Dallas Goedert,88,85,#9 TE,"6'5""",256,27,1/3/95,5,2018,2,49,South Dakota State
TE, Tyree Jackson,80,67,#61 TE,"6'7""",249,24,11/7/97,2,2019,,,Buffalo
TE, Grant Calcaterra,47,67,#61 TE,"6'5""",247,23,12/4/98,0,2022,6,198,Southern Methodist
TE, Jack Stoll,89,67,#61 TE,"6'4""",247,24,1/28/98,2,2021,,,Nebraska
TE, Richard Rodgers,81,67,#61 TE,"6'4""",257,30,1/22/92,9,2014,3,98,California
TE, Noah Togiai,83,67,#61 TE,"6'4""",246,24,7/6/97,3,2020,,,Oregon State
C, Jason Kelce,62,90,#3 C,"6'3""",295,34,11/5/87,12,2011,6,191,Cincinnati
C, Cam Jurgens,51,67,#28 C,"6'3""",290,22,8/21/99,0,2022,2,51,Nebraska
OL, Landon Dickerson,69,78,#6 OL,"6'6""",333,23,9/30/98,2,2021,2,37,Alabama
OL, William Dunkle,73,67,#21 OL,"6'5""",330,22,12/30/99,0,2022,,,San Diego State
OL, Jarrid Williams,66,67,#21 OL,"6'6""",310,24,7/2/97,0,2022,,,Miami (FL)
G, Isaac Seumalo,56,74,#23 G,"6'4""",303,28,10/29/93,7,2016,3,79,Oregon State
G, Sua Opeta,78,67,#44 G,"6'4""",305,25,8/15/96,3,2019,,,Weber State
G, Kayode Awosika,72,67,#44 G,"6'3""",312,23,10/27/98,1,2021,,,Buffalo
G, Jack Anderson,76,67,#44 G,"6'5""",309,23,10/12/98,2,2021,7,236,Texas Tech
G, Josh Sills,61,67,#44 G,"6'6""",325,24,1/26/98,0,2022,,,Oklahoma State
OT, Lane Johnson,65,87,#10 OT,"6'6""",317,32,5/8/90,10,2013,1,4,Oklahoma
OT, Jordan Mailata,68,84,#14 OT,"6'8""",346,25,3/31/97,5,2018,7,233,None
OT, Andre Dillard,77,69,#58 OT,"6'5""",315,26,10/3/95,4,2019,1,22,Washington State
