Pos,Name,Jersey,Rating,Ranking,Depth,Height,Weight,Age,Birthday,Exp.,College
PG, Chris Paul,3,87,#6 PG,1,"6' 1""",175,36,5/6/85,16th season,Wake Forest
PG, Cameron Payne,15,79,#43 PG,2,"6' 1""",183,27,8/8/94,6th season,Murray State
PG, Elfrid Payton,2,75,#73 PG,3,"6' 3""",195,27,2/22/94,6th season,Louisiana-Lafayette
PG, Aaron Holiday,4,73,#100 PG,3,"6' 0""",185,25,9/30/96,4th season,UCLA
SG, Devin Booker,1,87,#6 SG,1,"6' 5""",206,24,10/30/96,6th season,Kentucky
SG, Landry Shamet,14,74,#57 SG,2,"6' 4""",190,24,3/13/97,3rd season,Wichita State
SG, Gabriel Lundberg,19,67,,3,"6' 4""",203,26,12/4/94,Rookie,
SF, Mikal Bridges,25,83,#10 SF,1,"6' 6""",209,25,8/30/96,3rd season,Villanova
SF, Torrey Craig,0,75,#55 SF,2,"6' 7""",221,30,12/19/90,5th season,USC Upstate
SF, Ish Wainright,12,68,#103 SF,3,"6' 5""",250,27,9/12/94,Rookie,Baylor
PF, Jae Crowder,99,76,#49 PF,1,"6' 6""",235,31,7/6/90,9th season,Marquette
PF, Cameron Johnson,23,78,#39 PF,2,"6' 8""",210,25,3/3/96,2nd season,North Carolina
PF, Dario Saric,20,75,#56 PF,,"6' 10""",225,27,4/8/94,5th season,
C, Deandre Ayton,22,84,#8 C,1,"6' 11""",250,23,7/23/98,3rd season,Arizona
C, JaVale McGee,0,77,#36 C,2,"7' 0""",270,33,1/19/88,15th season,Nevada
C, Bismack Biyombo,18,80,#17 C,3,"6' 8""",255,29,8/28/92,10th season,
