Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Mitchell Trubisky,10,70,#34 QB,"6'2""",215,27,8/20/94,6,2017,1,2,North Carolina
QB, Kenny Pickett,8,67,#44 QB,"6'3""",220,23,6/6/98,0,2022,1,20,Pittsburgh
QB, Chris Oladokun,,67,#44 QB,"6'1""",213,,,0,2022,7,241,South Dakota State
QB, Mason Rudolph,2,67,#44 QB,"6'5""",235,26,7/17/95,5,2018,3,76,Oklahoma State
RB, Najee Harris,22,81,#22 RB,"6'2""",230,24,3/9/98,2,2021,1,24,Alabama
RB, Benny Snell Jr.,24,72,#64 RB,"5'10""",224,24,2/27/98,4,2019,4,122,Kentucky
RB, Trey Edmunds,33,67,#98 RB,"6'2""",223,27,12/30/94,5,2017,,,Maryland
RB, Anthony McFarland Jr.,26,67,#98 RB,"5'8""",193,24,3/4/98,3,2020,4,124,Maryland
RB, Jaylen Warren,,67,#98 RB,"5'8""",215,23,11/1/98,0,2022,,,Oklahoma State
RB, Mataeo Durant,,67,#98 RB,"6'1""",195,22,12/4/99,0,2022,,,Duke
FB, Derek Watt,44,71,#6 FB,"6'2""",234,29,11/7/92,7,2016,6,198,Wisconsin
WR, Diontae Johnson,18,86,#19 WR,"5'10""",183,25,7/5/96,4,2019,3,66,Toledo
WR, Anthony Miller,17,77,#63 WR,"5'11""",199,27,10/9/94,5,2018,2,51,Memphis
WR, Chase Claypool,11,75,#73 WR,"6'4""",238,23,7/7/98,3,2020,2,49,Notre Dame
WR, Steven Sims,82,72,#102 WR,"5'10""",176,25,3/31/97,4,2019,,,Kansas
WR, Miles Boykin,13,71,#115 WR,"6'4""",220,25,10/12/96,4,2019,3,93,Notre Dame
WR, Rico Bussey,84,67,#165 WR,"6'0""",190,24,2/25/98,1,2021,,,Hawaii
WR, Calvin Austin III,,67,#165 WR,"5'9""",162,23,3/24/99,0,2022,4,138,Memphis
WR, George Pickens,,67,#165 WR,"6'3""",200,21,3/4/01,0,2022,2,52,Georgia
WR, Cody White,15,67,#165 WR,"6'3""",215,23,11/28/98,2,2020,,,Michigan State
WR, Tyler Vaughns,80,67,#165 WR,"6'2""",184,24,6/1/97,1,2021,,,USC
WR, Gunner Olszewski,89,67,#165 WR,"6'0""",190,25,11/26/96,4,2019,,,Bemidji State (MN)
TE, Pat Freiermuth,88,77,#23 TE,"6'5""",258,23,10/25/98,2,2021,2,55,Penn State
TE, Jace Sternberger,85,71,#38 TE,"6'4""",251,25,6/26/96,4,2019,3,75,Texas A&M
TE, Kevin Rader,87,67,#61 TE,"6'4""",250,27,4/26/95,3,2018,,,Youngstown State
TE, Connor Heyward,,67,#61 TE,"6'0""",230,23,1/22/99,0,2022,6,208,Michigan State
TE, Zach Gentry,81,67,#61 TE,"6'8""",265,25,9/10/96,4,2019,5,141,Michigan
C, Kendrick Green,53,71,#23 C,"6'4""",315,23,12/22/98,2,2021,3,87,Illinois
C, Mason Cole,61,67,#28 C,"6'5""",292,26,3/28/96,5,2018,3,97,Michigan
C, J.C. Hassenauer,60,67,#28 C,"6'2""",295,27,9/1/94,3,2018,,,Alabama
OL, Kevin Dotson,69,71,#16 OL,"6'4""",321,25,9/18/96,3,2020,4,135,Louisiana-Lafayette
OL, Jordan Tucker,,67,#21 OL,"6'6""",340,,,0,2022,,,North Carolina
OL, Donovan Jeter,,67,#21 OL,"6'3""",325,23,12/7/98,0,2022,,,Michigan
OL, Jake Dixon,,67,#21 OL,"6'6""",290,,,0,2022,,,Duquesne
OL, Chris Owens,,67,#21 OL,"6'3""",305,,,0,2022,,,Alabama
G, James Daniels,78,79,#14 G,"6'3""",305,24,9/13/97,5,2018,2,39,Iowa
G, Nate Gilliam,62,67,#44 G,"6'5""",300,24,7/6/97,2,2020,,,Wake Forest
G, Malcolm Pridgeon,64,67,#44 G,"6'6""",331,27,1/20/95,2,2019,,,Ohio State
OT, Chukwuma Okorafor,76,70,#52 OT,"6'6""",320,24,8/8/97,5,2018,3,92,Western Michigan
OT, Dan Moore Jr.,65,70,#52 OT,"6'5""",315,23,9/28/98,2,2021,4,128,Texas A&M
OT, John Leglue,77,67,#68 OT,"6'6""",301,26,4/17/96,2,2019,,,Tulane
OT, Joe Haeg,71,67,#68 OT,"6'6""",298,29,3/11/93,7,2016,5,155,North Dakota State
OT, Chaz Green,74,67,#68 OT,"6'5""",315,30,4/8/92,7,2015,3,91,Florida
