Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Jimmy Garoppolo,10,77,#19 QB,"6'2""",225,30,11/2/91,9,2014,2,62,Eastern Illinois
QB, Trey Lance,5,75,#23 QB,"6'4""",224,21,5/9/00,2,2021,1,3,North Dakota State
QB, Brock Purdy,14,67,#44 QB,"6'1""",220,22,12/27/99,0,2022,7,262,Iowa State
QB, Nate Sudfeld,7,67,#44 QB,"6'6""",227,28,10/7/93,7,2016,6,187,Indiana
RB, Elijah Mitchell,25,78,#36 RB,"5'10""",200,24,5/2/98,2,2021,6,194,Louisiana-Lafayette
RB, Trey Sermon,28,76,#43 RB,"6'0""",215,23,1/30/99,2,2021,3,88,Ohio State
RB, Jeff Wilson Jr.,22,72,#64 RB,"6'0""",213,26,11/16/95,5,2018,,,North Texas
RB, JaMycal Hasty,23,69,#81 RB,"5'8""",205,25,9/12/96,3,2020,,,Baylor
RB, Tyrion Davis-Price,32,67,#98 RB,"6'1""",223,21,10/23/00,0,2022,3,93,LSU
RB, Jordan Mason,,67,#98 RB,"6'1""",220,,,0,2022,,,Georgia Tech
FB, Kyle Juszczyk,44,86,#1 FB,"6'1""",235,31,4/23/91,10,2013,4,130,Harvard
FB, Josh Hokit,40,67,#13 FB,"6'1""",225,24,11/12/97,2,2020,,,Fresno State
WR, Deebo Samuel,19,88,#11 WR,"6'0""",215,26,1/15/96,4,2019,2,36,South Carolina
WR, Brandon Aiyuk,11,78,#56 WR,"6'0""",200,24,3/17/98,3,2020,1,25,Arizona State
WR, Malik Turner,17,70,#132 WR,"6'2""",202,26,1/30/96,5,2018,,,Illinois
WR, Jauan Jennings,15,70,#132 WR,"6'3""",208,24,7/10/97,2,2020,7,217,Tennessee
WR, Ray-Ray McCloud,3,70,#132 WR,"5'9""",190,25,10/15/96,5,2018,6,187,Clemson
WR, Austin Mack,81,69,#143 WR,"6'2""",215,24,8/31/97,3,2020,,,Ohio State
WR, Marcus Johnson,6,68,#151 WR,"6'1""",207,27,8/5/94,6,2016,,,Texas
WR, KeeSean Johnson,13,68,#151 WR,"6'1""",201,25,10/9/96,4,2019,6,174,Fresno State
WR, Connor Wedington,83,67,#165 WR,"6'0""",204,22,5/28/99,1,2021,,,Stanford
WR, Danny Gray,86,67,#165 WR,"6'0""",186,23,4/1/99,0,2022,3,105,Southern Methodist
WR, Tay Martin,,67,#165 WR,"6'3""",186,24,12/14/97,0,2022,,,Oklahoma State
WR, Taysir Mack,,67,#165 WR,"6'2""",190,23,9/17/98,0,2022,,,Pittsburgh
TE, George Kittle,85,99,#1 TE,"6'4""",250,28,10/9/93,6,2017,5,146,Iowa
TE, Jordan Matthews,88,70,#48 TE,"6'3""",215,29,7/16/92,9,2014,2,42,Vanderbilt
TE, Charlie Woerner,89,67,#61 TE,"6'5""",243,24,10/16/97,3,2020,6,190,Georgia
TE, Tanner Hudson,84,67,#61 TE,"6'5""",239,27,11/12/94,4,2018,,,Southern Arkansas
TE, Ross Dwelley,82,67,#61 TE,"6'5""",235,27,1/26/95,5,2018,,,San Diego
TE, Garrett Walston,,67,#61 TE,"6'4""",241,,,0,2022,,,North Carolina
C, Alex Mack,50,88,#5 C,"6'4""",311,36,11/19/85,14,2009,1,21,California
C, Jake Brendel,64,67,#28 C,"6'4""",299,29,9/10/92,4,2016,,,UCLA
OL, Colton McKivitz,68,67,#21 OL,"6'6""",301,25,8/9/96,3,2020,5,153,West Virginia
OL, Dohnovan West,,67,#21 OL,"6'4""",300,20,5/19/01,0,2022,,,Arizona State
OL, Nick Zakelj,63,67,#21 OL,"6'5""",325,22,6/22/99,0,2022,6,187,Fordham
OL, Spencer Burford,74,67,#21 OL,"6'5""",295,21,7/19/00,0,2022,4,134,Texas-San Antonio
