Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Drew Lock,2,67,#44 QB,"6'4""",228,25,11/10/96,4,2019,2,42,Missouri
QB, Jacob Eason,17,67,#44 QB,"6'6""",231,24,11/17/97,3,2020,4,122,Washington
QB, Levi Lewis,15,67,#44 QB,"5'10""",184,23,5/9/98,0,2022,,,Louisiana
QB, Geno Smith,7,67,#44 QB,"6'3""",221,31,10/10/90,10,2013,2,39,West Virginia
RB, Chris Carson,32,81,#22 RB,"5'11""",222,27,9/16/94,6,2017,7,249,Oklahoma State
RB, Rashaad Penny,20,75,#47 RB,"5'11""",220,26,2/2/96,5,2018,1,27,San Diego State
RB, Travis Homer,25,69,#81 RB,"5'10""",202,23,8/7/98,4,2019,6,204,Miami (FL)
RB, Darwin Thompson,36,69,#81 RB,"5'8""",200,25,2/12/97,4,2019,6,214,Utah State
RB, DeeJay Dallas,31,68,#88 RB,"5'10""",217,23,9/16/98,3,2020,4,144,Miami (FL)
RB, Kenneth Walker III,9,67,#98 RB,"5'10""",210,21,10/20/00,0,2022,2,41,Michigan State
RB, Josh Johnson,34,67,#98 RB,"5'9""",209,24,12/26/97,1,2021,,,Louisiana-Monroe
FB, Nick Bellore,44,67,#13 FB,"6'1""",250,32,5/12/89,12,2011,,,Central Michigan
WR, DK Metcalf,14,92,#8 WR,"6'4""",235,24,12/14/97,4,2019,2,64,Mississippi
WR, Tyler Lockett,16,87,#15 WR,"5'10""",182,29,9/28/92,8,2015,3,69,Kansas State
WR, Dee Eskridge,1,71,#115 WR,"5'9""",190,25,3/23/97,2,2021,2,56,Western Michigan
WR, Freddie Swain,18,68,#151 WR,"6'0""",199,23,8/4/98,3,2020,6,214,Florida
WR, Aaron Fuller,13,67,#165 WR,"5'11""",186,24,9/30/97,2,2020,,,Washington
WR, Cody Thompson,11,67,#165 WR,"6'2""",205,26,1/11/96,2,2019,,,Toledo
WR, Cade Johnson,88,67,#165 WR,"5'10""",184,24,4/10/98,1,2021,,,South Dakota State
WR, Demetris Robertson,82,67,#165 WR,"6'0""",184,25,4/13/97,0,2021,,,Georgia
WR, Bo Melton,81,67,#165 WR,"5'11""",195,22,5/18/99,0,2022,7,229,Rutgers
WR, Penny Hart,19,67,#165 WR,"5'8""",180,25,7/5/96,3,2019,,,Georgia State
WR, Dareke Young,83,67,#165 WR,"6'2""",220,,,0,2022,7,233,Lenoir-Rhyne
WR, Rodney Coates,,67,#165 WR,"6'2""",195,,,0,,,,West Florida
WR, John Mitchell,48,67,#165 WR,"6'4""",230,24,4/3/98,0,,,,Florida Atlantic
WR, Jake Herslow,86,67,#165 WR,"6'0""",185,,,0,,,,Houston
TE, Noah Fant,87,81,#14 TE,"6'4""",249,24,11/20/97,4,2019,1,20,Iowa
TE, Will Dissly,89,75,#26 TE,"6'4""",265,25,7/8/96,5,2018,4,120,Washington
TE, Colby Parkinson,84,67,#61 TE,"6'7""",251,23,1/8/99,3,2020,4,133,Stanford
TE, Tyler Mabry,85,67,#61 TE,"6'3""",247,25,11/21/96,2,2020,,,Maryland
TE, Cade Brewer,47,67,#61 TE,"6'4""",243,,,0,2022,,,Texas
C, Austin Blythe,63,78,#10 C,"6'3""",298,29,6/16/92,7,2016,7,248,Iowa
OL, Abraham Lucas,72,67,#21 OL,"6'7""",319,23,10/25/98,0,2022,3,72,Washington State
OL, Shamarious Gilmore,65,67,#21 OL,"6'3""",295,,,0,2022,,,Georgia State
OL, Matthew Gotel,73,67,#21 OL,"6'4""",325,,,0,2022,,,West Florida
G, Gabe Jackson,66,80,#11 G,"6'3""",335,30,7/12/91,9,2014,3,81,Mississippi State
G, Damien Lewis,68,71,#31 G,"6'2""",327,25,3/21/97,3,2020,3,69,LSU
G, Greg Eiland,75,67,#44 G,"6'8""",321,24,2/1/98,1,2021,,,Mississippi State
G, Pier-Olivier Lestage,62,67,#44 G,"6'3""",312,24,8/4/97,1,2021,,,Montreal (Canada)
