Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Tom Brady,12,99,#1 QB,"6'4""",225,44,8/3/77,23,2000,6,199,Michigan
QB, Kyle Trask,2,67,#43 QB,"6'5""",240,24,3/6/98,2,2021,2,64,Florida
QB, Ryan Griffin,4,67,#43 QB,"6'5""",210,32,11/17/89,8,2013,,,Tulane
QB, Blaine Gabbert,11,67,#43 QB,"6'4""",235,32,10/15/89,12,2011,1,10,Missouri
RB, Leonard Fournette,7,83,#18 RB,"6'0""",228,27,1/18/95,6,2017,1,4,LSU
RB, Giovani Bernard,25,78,#37 RB,"5'9""",208,30,11/22/91,10,2013,2,37,North Carolina
RB, Ke'Shawn Vaughn,21,72,#66 RB,"5'10""",214,24,5/4/97,3,2020,3,76,Vanderbilt
RB, Kenjon Barner,38,67,#100 RB,"5'9""",195,33,4/28/89,9,2013,6,182,Oregon
WR, Chris Godwin,14,90,#11 WR,"6'1""",209,26,2/27/96,6,2017,3,84,Penn State
WR, Mike Evans,13,90,#11 WR,"6'5""",231,28,8/21/93,9,2014,1,7,Texas A&M
WR, Russell Gage,17,79,#44 WR,"6'0""",184,26,1/22/96,5,2018,6,194,LSU
WR, Breshad Perriman,16,73,#92 WR,"6'2""",218,28,9/10/93,8,2015,1,26,Central Florida
WR, Scotty Miller,10,72,#106 WR,"5'11""",174,24,7/31/97,4,2019,6,208,Bowling Green
WR, Tyler Johnson,18,69,#132 WR,"6'2""",206,23,8/25/98,3,2020,5,161,Minnesota
WR, Vyncint Smith,,67,#156 WR,"6'3""",202,25,6/9/96,5,2018,,,Limestone College
WR, Austin Watkins Jr.,,67,#156 WR,"6'3""",210,24,2/16/98,1,2021,,,Alabama-Birmingham
WR, Cyril Grayson Jr.,15,67,#156 WR,"5'9""",183,28,12/5/93,4,2017,,,LSU
WR, Jaelon Darden,1,67,#156 WR,"5'8""",174,23,1/14/99,2,2021,4,129,North Texas
WR, Travis Jonsen,,67,#156 WR,"6'4""",211,25,10/16/96,2,2020,,,Montana State
TE, Cameron Brate,84,75,#29 TE,"6'5""",245,30,7/3/91,8,2014,,,Harvard
TE, Codey McElroy,86,67,#59 TE,"6'6""",255,29,12/13/92,3,2018,,,Southeastern Oklahoma State
