Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Ryan Tannehill,17,86,#7 QB,"6'4""",207,33,7/27/88,11,2012,1,8,Texas A&M
QB, Logan Woodside,5,67,#44 QB,"6'1""",213,27,1/27/95,3,2018,7,249,Toledo
QB, Malik Willis,7,67,#44 QB,"6'1""",225,22,5/25/99,0,2022,3,86,Liberty
RB, Derrick Henry,22,97,#1 RB,"6'3""",247,28,1/4/94,7,2016,2,45,Alabama
RB, Jordan Wilkins,20,72,#64 RB,"6'1""",216,27,7/18/94,5,2018,5,169,Mississippi
RB, Trenton Cannon,23,70,#72 RB,"5'11""",185,27,7/23/94,5,2018,6,204,Virginia State
RB, Hassan Haskins,28,67,#98 RB,"6'1""",220,22,11/26/99,0,2022,4,131,Michigan
RB, Dontrell Hilliard,40,67,#98 RB,"5'11""",202,27,2/26/95,5,2018,,,Tulane
FB, Tory Carter,44,67,#13 FB,"6'0""",229,23,3/16/99,2,2021,,,LSU
WR, Robert Woods,2,87,#15 WR,"6'0""",195,30,4/10/92,10,2013,2,41,USC
WR, Nick Westbrook-Ikhine,15,73,#93 WR,"6'2""",211,25,3/21/97,3,2020,,,Indiana
WR, Mason Kinsey,12,67,#165 WR,"5'10""",198,23,8/29/98,2,2020,,,Berry College
WR, Dez Fitzpatrick,10,67,#165 WR,"6'2""",208,24,12/17/97,2,2021,4,109,Louisville
WR, Racey McMath,13,67,#165 WR,"6'3""",217,22,6/14/99,2,2021,6,205,LSU
WR, Treylon Burks,16,67,#165 WR,"6'3""",225,22,3/23/00,0,2022,1,18,Arkansas
WR, Kyle Philips,18,67,#165 WR,"5'11""",191,22,6/17/99,0,2022,5,163,UCLA
WR, Reggie Roberson Jr.,,67,#165 WR,"6'1""",197,24,10/14/97,0,2022,,,Southern Methodist
WR, Brandon Lewis,,67,#165 WR,"5'9""",175,,,,2022,,,Air Force
WR, Josh Malone,86,67,#165 WR,"6'3""",205,26,3/21/96,5,2017,4,128,Tennessee
WR, Cody Hollister,8,67,#165 WR,"6'4""",209,28,11/18/93,4,2017,,,Arkansas
TE, Austin Hooper,81,83,#11 TE,"6'4""",254,27,10/29/94,7,2016,3,81,Stanford
TE, Geoff Swaim,87,68,#55 TE,"6'4""",245,28,9/16/93,8,2015,7,246,Texas
TE, Chigoziem Okonkwo,85,67,#61 TE,"6'3""",250,22,9/8/99,0,2022,4,143,Maryland
TE, Briley Moore,82,67,#61 TE,"6'4""",240,24,1/13/98,2,2021,,,Kansas State
TE, Tommy Hudson,89,67,#61 TE,"6'5""",255,25,2/22/97,2,2020,,,Arizona State
TE, Ryan Izzo,83,67,#69 TE,"6'5""",255,26,12/21/95,5,2018,7,250,Florida State
