Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
QB, Carson Wentz,11,75,#23 QB,"6'5""",237,29,12/30/92,7,2016,1,2,North Dakota State
QB, Taylor Heinicke,4,68,#41 QB,"6'0""",210,29,3/15/93,5,2015,,,Old Dominion
QB, Cole Kelley,,67,#44 QB,"6'7""",260,24,10/27/97,0,2022,,,Southeastern Louisiana
QB, Sam Howell,14,67,#44 QB,"6'1""",220,21,9/16/00,0,2022,5,144,North Carolina
RB, Antonio Gibson,24,81,#22 RB,"6'2""",220,23,6/23/98,3,2020,3,66,Memphis
RB, J.D. McKissic,23,75,#47 RB,"5'10""",195,28,8/15/93,6,2016,,,Arkansas State
RB, Brian Robinson Jr.,8,67,#98 RB,"6'1""",225,23,3/22/99,0,2022,3,98,Alabama
RB, Jonathan Williams,41,67,#98 RB,"6'0""",217,28,2/2/94,7,2016,5,156,Arkansas
RB, Jaret Patterson,32,67,#98 RB,"5'8""",195,22,12/23/99,2,2021,,,Buffalo
RB, Reggie Bonnafon,38,67,#98 RB,"6'0""",215,26,1/4/96,4,2018,,,Louisville
FB, Alex Armah,40,68,#10 FB,"6'2""",255,27,5/17/94,6,2017,6,192,West Georgia
WR, Terry McLaurin,17,88,#11 WR,"6'0""",210,26,9/15/95,4,2019,3,76,Ohio State
WR, Curtis Samuel,10,81,#40 WR,"5'11""",195,25,8/11/96,6,2017,2,40,Ohio State
WR, Dyami Brown,2,73,#93 WR,"6'0""",195,22,11/1/99,2,2021,3,82,North Carolina
WR, Antonio Gandy-Golden,18,71,#115 WR,"6'4""",223,24,4/11/98,3,2020,4,142,Liberty
WR, Cam Sims,89,68,#151 WR,"6'5""",215,26,1/6/96,5,2018,,,Alabama
WR, Kelvin Harmon,13,68,#151 WR,"6'2""",215,25,12/15/96,3,2019,6,206,North Carolina State
WR, Dax Milne,15,67,#165 WR,"6'0""",190,22,6/23/99,2,2021,7,258,Brigham Young
WR, Jahan Dotson,1,67,#165 WR,"5'11""",184,22,3/22/00,0,2022,1,16,Penn State
WR, Alex Erickson,,67,#165 WR,"6'0""",195,29,11/6/92,7,2016,,,Wisconsin
WR, Jequez Ezzard,,67,#165 WR,"5'9""",190,,,0,2022,,,Sam Houston State
WR, Kyric McGowan,,67,#165 WR,"5'11""",198,,,0,2022,,,Georgia Tech
